Event/Description,EstMH (All),Interval,MH_j,max_interval
HE32-291000-14-1 (R0003) / CHECK NITROGEN CHARGE PRESSURE ON HYDRAULIC POWER ACCUMULATORS,0 days 00:44:00,600,0.7333333333333333,600
EOI-49-0004/W1690469 /[131-9A] APU VISUAL INSPECTION AND OIL SERVICE,0 days 01:35:00,40 D,1.5833333333333335,200
"HE32-279000-05-1 (R0003) / OPERATIONAL CHECK OF LOGICS ACTIVATING ELAC 1, ELAC 2 AND SEC.1 STANDBY POWER SUPPLIES",0 days 01:19:00,400,1.3166666666666667,400
B-LAD/BDD010/LM-RI/RH WING NO.1 SLAT DENT INSP (0) / B-LAD/BDD010/LM-RI/RH WING NO.1 SLAT OUTBOARD SIDE DENT INSP,0 days 00:50:00,750,0.8333333333333334,750
EOI-72-0001/W1581052 /ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
"HE32-242000-23-1-01 (R0005) / DISCARD NO.1 IDG SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM",0 days 03:15:00,800,3.25,800
"HE32-279000-05-1 (R0003) / OPERATIONAL CHECK OF LOGICS ACTIVATING ELAC 1, ELAC 2 AND SEC.1 STANDBY POWER SUPPLIES",0 days 01:19:00,400,1.3166666666666667,400
HE32-272400-01-1 (R0004) / OPERATIONAL CHECK OF RUDDER SERVOCONTROLS WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:30:00,750,0.5,750
HE32-272400-01-1 (R0004) / OPERATIONAL CHECK OF RUDDER SERVOCONTROLS WITH INDIVIDUAL HYDRAULIC SYSTEMS,0 days 00:30:00,750,0.5,750
HE32-730000-W1-1 (R0002) / CORRECT FAULTS OF THE ENGINE SCHEDULED MAINTENANCE REPORT (SMR),0 days 00:12:00,750,0.2,750
HE32-730000-W1-1 (R0002) / CORRECT FAULTS OF THE ENGINE SCHEDULED MAINTENANCE REPORT (SMR),0 days 00:12:00,750,0.2,750
EO-PW-79-0034/W1534481 /REPETITIVE INSPECTION AND TORQUE CHECK OF THE MGB AND AGB TUBE BOSS,0 days 05:30:00,Thr. 750,5.5,200
REPLACE 60592-201/A22726/W484613 (RESERVOIR ASSY),0 days 02:30:00,,2.5,200
EOI-72-0001/W1586052 /ANTI-IFSD KEY INSPECTION POINTS OF PW1100G ENGINE,0 days 04:00:00,1'500,4.0,200
HE32-25-SCME-070 (R0002) / INSPECTION OF LOOSE FLOTATION EQUIPMENT,0 days 00:20:00,120 D,0.3333333333333333,200
"HE32-291000-23-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
"HE32-291000-24-1 (R0001) / DETAILED INSPECTION OF THE PYLON / ENGINE INTERFACE ROD ENDS, ROD ATTACHMENT FITTINGS, INTERF",0 days 04:04:00,2'500,4.066666666666666,200
REPLACE 3214-31/943763/W1600558 (EPSU BATTERY),0 days 01:30:00,,1.5,200
EO-PW-72-0193/W1623969 /TUBE ASSEMBLY; OIL; NO. 4 BEARING(LR111); SCAVENGE - EXAMINE THE NO. 4,0 days 02:10:00,1'000,2.1666666666666665,200
